epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.255,0.8774,2.2998,1.42795,0.74276,0.10155,0.56354,0.34399,0.94243,3.06226,1.72034,0.00048343,0.00048343,0.00048343
2,193.102,0.97041,1.74476,1.4892,0.29154,0.45882,0.27876,0.09909,1.78416,4.36486,2.75411,0.000964056,0.000964056,0.000964056
3,278.252,1.07296,1.76816,1.533,0.32844,0.49139,0.32487,0.1273,1.97229,3.55377,3.90267,0.00142488,0.00142488,0.00142488
4,376.605,1.09278,1.68347,1.58385,0.30079,0.11785,0.07526,0.01631,3.12226,4.48224,4.44093,0.00156798,0.00156798,0.00156798
5,470.147,1.1019,1.65929,1.57225,0.21624,0.63175,0.34231,0.15189,1.62764,3.06068,2.55147,0.00153497,0.00153497,0.00153497
6,555.145,1.12354,1.5624,1.59208,0.31944,0.46198,0.32581,0.14687,1.90016,2.71319,2.63609,0.00150197,0.00150197,0.00150197
7,637.569,1.09281,1.51868,1.5653,0.53659,0.57064,0.59046,0.2931,1.41044,2.1755,2.16322,0.00146896,0.00146896,0.00146896
8,722.103,1.04256,1.45453,1.50668,0.63316,0.68561,0.69186,0.35468,1.57643,1.81059,2.48279,0.00143595,0.00143595,0.00143595
9,820.233,1.04681,1.37264,1.51507,0.59546,0.71843,0.68011,0.38936,1.33971,1.90137,2.17532,0.00140295,0.00140295,0.00140295
10,906.452,1.01252,1.31496,1.49354,0.69949,0.7179,0.70925,0.36876,1.46754,1.68753,2.30245,0.00136994,0.00136994,0.00136994
11,990.542,1.00456,1.28017,1.48454,0.65346,0.72901,0.7687,0.46916,1.25709,1.56567,1.9789,0.00133693,0.00133693,0.00133693
